instance,rmp_opt,integer_opt
a05100,1698,1698
a05200,3235,3235
a10100,1360,1360
a10200,2623,2623
a20100,1158,1158
a20200,2339,2339
b05100,1838.569767,1843
b05200,3549.153945,3552
b10100,1407,1407
b10200,2825.276563,2827
b20100,1166,1166
b20200,2338.521739,2339
c05100,1929.666667,1931
c05200,3454.235294,3456
c10100,1399.857143,1402
c10200,2803.322476,2806
c10400,5595.151629,5597
c15900,11338.22348,11340
c20100,1241.666667,1243
c201600,18801.05737,18802
c20200,2390.171034,2391
c20400,4780.094642,4782
c30900,9981.163126,9982
c401600,17143.08242,17145
c40400,4243.245259,4244
c60900,9324.220612,9327
c801600,16283.2208,16285
d05100,6349.710322,6353
d05200,12740.03903,12742
d10100,6341.421473,6348
d10200,12425.61462,12432
d10400,24958.14616,24963
d15900,55402.06969,55409
d20100,6176.142063,6190
d201600,97822.14822,97832
d20200,12229.60344,12241
d20400,24560.10801,24574
d30900,54832.14644,54852
d401600,97105,97105
d40400,24349.5,24392
d60900,54551,54568
d801600,97034,97035
e05100,12673.04695,12681
e05200,24926.64286,24930
e10100,11568.02252,11577
e10200,23302.04956,23307
e10400,45744.10997,45746
e15900,102419.3267,102421
e20100,8431.509922,8436
e201600,180643.1024,180645
e20200,22376.52074,22379
e20400,44875.37277,44877
e30900,100426.5332,100427
e401600,178292.1997,178293
e40400,44556.77712,44561
e60900,100146.4019,100149
e801600,176818.5069,176820
