instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a10100_0.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1367.960526,1371,,1371,,10,10,0.00082,0.000995,0.007091,121,147560.9756,12.1,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_0.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1367.960526,1371,0.218818381,1371,0,10,10,0.00082,0.000995,0.007098,121,147560.9756,6.05,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_0.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1367.960526,2345,,2345,,10,30,0.001162,0.001534,0.008171,150,129087.7797,5,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_0.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1367.960526,2345,41.66311301,2345,0,10,30,0.001162,0.001534,0.008181,150,129087.7797,1.666666667,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_1.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1325.153846,1354,,1354,,10,20,0.001045,0.001413,0.004698,124,118660.2871,6.2,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_1.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1325.153846,1354,2.067946824,1354,0,10,20,0.001045,0.001413,0.004703,124,118660.2871,2.066666667,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_1.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1325.153846,2238,,2238,,10,30,0.001177,0.001051,0.004792,135,114698.3857,4.5,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_1.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1325.153846,2238,40.75067024,2238,0,10,30,0.001177,0.001051,0.004799,135,114698.3857,1.5,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_2.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1261.142857,1311,,1311,,10,21,0.000651,0.001599,0.00593,126,193548.3871,6,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_2.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1261.142857,1311,3.737604882,1311,0,10,21,0.000651,0.001599,0.00597,126,193548.3871,2,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_2.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,4,1261.142857,2265,,2265,,10,40,0.00199,0.001735,0.007914,187,93969.84925,4.675,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_2.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,4,1261.142857,2265,44.28256071,2265,0,10,40,0.00199,0.001735,0.007921,187,93969.84925,1.16875,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_3.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1337.462857,1342,,1342,,10,10,0.000307,0.000537,0.002828,118,384364.8208,11.8,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_3.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1337.462857,1342,0.298062593,1342,0,10,10,0.000307,0.000537,0.002836,118,384364.8208,5.9,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_3.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1337.462857,2311,,2311,,10,29,0.001066,0.001242,0.004937,141,132270.1689,4.862068966,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_3.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1337.462857,2311,42.10298572,2311,0,10,29,0.001066,0.001242,0.004945,141,132270.1689,1.620689655,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_4.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1314.167619,1315,,1315,,10,10,0.000373,0.000587,0.003079,114,305630.0268,11.4,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_4.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1314.167619,1315,0,1315,0,10,10,0.000373,0.000587,0.003088,114,305630.0268,5.7,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
a10100_4.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1314.167619,1315,0,1315,0,10,10,0.000373,0.000587,0.003088,114,305630.0268,5.7,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_4.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,4,1314.167619,inf,,6107,,14,30,0.001155,0.001201,0.004407,184,159307.3593,6.133333333,0,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_4.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,4,1314.167619,inf,nan,6107,0,14,30,0.001155,0.001201,0.004415,184,159307.3593,1.533333333,0,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_5.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1343.537037,1361,,1361,,10,21,0.000491,0.001633,0.004397,125,254582.4847,5.952380952,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_5.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1343.537037,1361,1.249081558,1361,0,10,21,0.000491,0.001633,0.00441,125,254582.4847,1.984126984,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_5.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1343.537037,2515,,2515,,10,30,0.000906,0.001044,0.004623,151,166666.6667,5.033333333,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_5.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1343.537037,2515,46.56063618,2515,0,10,30,0.000906,0.001044,0.00463,151,166666.6667,1.677777778,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_6.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1330.652174,1331,,1331,,10,10,0.000324,0.000532,0.002831,114,351851.8519,11.4,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_6.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1330.652174,1331,0,1331,0,10,10,0.000324,0.000532,0.00284,114,351851.8519,5.7,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
a10100_6.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1330.652174,1331,0,1331,0,10,10,0.000324,0.000532,0.00284,114,351851.8519,5.7,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_6.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1330.652174,inf,,6776.5,,13,20,0.000736,0.00107,0.004009,144,195652.1739,7.2,0,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_6.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1330.652174,inf,nan,6776.5,0,13,20,0.000736,0.00107,0.004039,144,195652.1739,2.4,0,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_7.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1280,1281,,1281,,10,10,0.000249,0.000606,0.002949,114,457831.3253,11.4,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_7.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1280,1281,0.078064012,1281,0,10,10,0.000249,0.000606,0.002956,114,457831.3253,5.7,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_7.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1280,2213,,2213,,10,30,0.000728,0.000855,0.00402,154,211538.4615,5.133333333,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_7.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1280,2213,42.15996385,2213,0,10,30,0.000728,0.000855,0.004028,154,211538.4615,1.711111111,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_8.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1327.875,1328,,1328,,10,10,0.00033,0.000604,0.002906,116,351515.1515,11.6,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_8.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1327.875,1328,0,1328,0,10,10,0.00033,0.000604,0.002912,116,351515.1515,5.8,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
a10100_8.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,2,1327.875,1328,0,1328,0,10,10,0.00033,0.000604,0.002912,116,351515.1515,5.8,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_8.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1327.875,2328,,2328,,10,30,0.000804,0.001241,0.004699,166,206467.6617,5.533333333,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_8.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1327.875,2328,42.95532646,2328,0,10,30,0.000804,0.001241,0.004707,166,206467.6617,1.844444444,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_9.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1346,1380,,1380,,10,21,0.000533,0.001207,0.004066,127,238273.9212,6.047619048,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_9.json.gz,a,10,100,LagrangeTemplate,highs,LTFarkas,1,3,1346,1380,2.463768116,1380,0,10,21,0.000533,0.001207,0.004072,127,238273.9212,2.015873016,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10100_9.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1346,2313,,2313,,10,30,0.000756,0.0012,0.004632,156,206349.2063,5.2,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10100_9.json.gz,a,10,100,Pessoa,highs,DantzigFarkas,1,3,1346,2313,41.80717683,2313,0,10,30,0.000756,0.0012,0.004642,156,206349.2063,1.733333333,1,0,"{timeout:600,max_col_multiplier:1,age_limit:4,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10200_0.json.gz,a,10,200,LagrangeTemplate,highs,LTFarkas,1,2,2733.545455,2734,,2734,,10,10,0.000481,0.000544,0.00554,219,455301.4553,21.9,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10200_0.json.gz,a,10,200,LagrangeTemplate,highs,LTFarkas,1,2,2733.545455,2734,0,2734,0,10,10,0.000481,0.000544,0.005546,219,455301.4553,10.95,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
a10200_0.json.gz,a,10,200,LagrangeTemplate,highs,LTFarkas,1,2,2733.545455,2734,0,2734,0,10,10,0.000481,0.000544,0.005546,219,455301.4553,10.95,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10200_0.json.gz,a,10,200,Pessoa,highs,DantzigFarkas,1,5,2733.545455,inf,,12294.66667,,15,40,0.003197,0.002527,0.010379,352,110103.2218,8.8,0,0,"{timeout:600,max_col_multiplier:1,age_limit:7,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10200_0.json.gz,a,10,200,Pessoa,highs,DantzigFarkas,1,5,2733.545455,inf,nan,12294.66667,0,15,40,0.003197,0.002527,0.010385,352,110103.2218,1.76,0,0,"{timeout:600,max_col_multiplier:1,age_limit:7,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10200_1.json.gz,a,10,200,LagrangeTemplate,highs,LTFarkas,1,3,2689,2706,,2706,,10,21,0.000878,0.001241,0.006446,228,259681.0934,10.85714286,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a10200_1.json.gz,a,10,200,LagrangeTemplate,highs,LTFarkas,1,3,2689,2706,0.628233555,2706,0,10,21,0.000878,0.001241,0.006452,228,259681.0934,3.619047619,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a10200_1.json.gz,a,10,200,Pessoa,highs,DantzigFarkas,1,5,2689,inf,,12029,,15,40,0.002306,0.001717,0.008363,318,137901.1275,7.95,0,0,"{timeout:600,max_col_multiplier:1,age_limit:7,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
