instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
new10100_0_eec.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,3,20860.36957,23382,,23382,,10,20,0.001225,0.00164,0.016277,499,407346.9388,24.95,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
new10100_0_eec.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,100,20895.14667,21525,2.922183508,20895.18667,0.04,36,115,0.053227,0.037917,0.108967,2334,43849.92579,2.160202381,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
new10100_0_eec.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,100,20895.14667,21525,2.922183508,20895.18667,0.04,36,115,0.053227,0.037917,0.108967,2334,43849.92579,2.160202381,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
new10100_10_eea.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,3,3417.853979,4530,,4530,,10,23,0.000793,0.00118,0.005083,167,210592.686,7.260869565,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
new10100_10_eea.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,72,3446.984076,3474,0.777202073,3446.984076,0,55,115,0.032083,0.022647,0.060971,1216,37901.69249,1.617142809,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
new10100_10_eea.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,72,3446.984076,3474,0.777202073,3446.984076,0,55,115,0.032083,0.022647,0.060971,1216,37901.69249,1.617142809,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
new10100_11_adc.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,5,26885.74936,27975,,27975,,10,40,0.000824,0.00281,0.008533,312,378640.7767,7.8,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
new10100_11_adc.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,163,26918.09739,27384,1.698071867,26918.13589,0.038496712,73,121,0.201468,0.651466,0.867738,3691,18320.52733,2.264602201,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",2
new10100_11_adc.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,163,26918.09739,27384,1.698071867,26918.13589,0.038496712,73,121,0.201468,0.651466,0.867739,3691,18320.52733,2.264602201,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
new10100_12_eaa.json.gz,n,10,100,LagrangeTemplate,highs,LTFarkas,1,2,2612.725479,2659,,2659,,10,10,0.000367,0.000794,0.005725,119,324250.6812,11.9,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
