instance,optRMP,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
new10100_0_eec.json.gz,20896,n,10,100,LagrangeTemplate,highs,LTFarkas,1,96,20895.14667,21230,1.573245407,20895.18667,0.04,36,121,0.046585,0.035239,0.0989,2207,47375.76473,2.011243386,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_1_eea.json.gz,4751,n,10,100,LagrangeTemplate,highs,LTFarkas,1,99,4750.07563,4922,3.474197481,4750.07563,0,51,125,0.044554,0.03005,0.083586,1768,39682.18342,1.661351247,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_10_eea.json.gz,3447,n,10,100,LagrangeTemplate,highs,LTFarkas,1,103,3446.719911,3459,0.346921075,3446.984398,0.26448737,54,125,0.044436,0.030538,0.083305,1716,38617.33729,1.546278317,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_11_adc.json.gz,26919,n,10,100,LagrangeTemplate,highs,LTFarkas,1,173,26918.07257,27765,3.047001621,26918.13587,0.063298096,73,117,0.22218,0.680742,0.919182,4020,18093.43775,2.345270048,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_12_eaa.json.gz,2630,n,10,100,LagrangeTemplate,highs,LTFarkas,1,52,2630,2630,0,2630,0,10,114,0.017626,0.019465,0.044757,536,30409.62215,1.438507326,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_13_eec.json.gz,18728,n,10,100,LagrangeTemplate,highs,LTFarkas,1,129,18727.11111,18771,0.229076767,18727.55556,0.444444444,33,118,0.070517,0.041066,0.125423,2974,42174.22749,2.039852622,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_14_edc.json.gz,8543,n,10,100,LagrangeTemplate,highs,LTFarkas,1,106,8542.075993,8561,0.210255811,8542.896373,0.820379965,44,138,0.057391,0.028953,0.095351,2215,38594.90164,1.96319019,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_15_aac.json.gz,14269,n,10,100,LagrangeTemplate,highs,LTFarkas,1,71,14268.5098,14943,4.510473131,14268.5098,0,43,112,0.029342,0.077176,0.113323,1218,41510.46282,1.480338978,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_16_aac.json.gz,11263,n,10,100,LagrangeTemplate,highs,LTFarkas,1,82,11262.2381,11322,0.521109345,11262.29167,0.053571429,28,113,0.035742,0.096661,0.141096,1367,38246.32086,1.614277897,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_17_eda.json.gz,7354,n,10,100,LagrangeTemplate,highs,LTFarkas,1,118,7353.364973,7395,0.554428668,7353.377459,0.012485035,56,130,0.057473,0.034942,0.103771,2188,38070.05028,1.7520682,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_18_ada.json.gz,20532,n,10,100,LagrangeTemplate,highs,LTFarkas,1,174,20531.04538,20866,1.600690118,20531.08983,0.044448274,68,114,0.211227,0.642338,0.869275,4029,19074.26607,2.258538588,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_19_eea.json.gz,4560,n,10,100,LagrangeTemplate,highs,LTFarkas,1,134,4559.163065,4589,0.631945958,4559.522282,0.359216745,57,125,0.072508,0.043822,0.131964,2591,35733.98797,1.90366727,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_20_eea.json.gz,3613,n,10,100,LagrangeTemplate,highs,LTFarkas,1,93,3612.5,3613,0,3613,0.5,10,115,0.031381,0.027561,0.065401,1036,33013.60696,1.28607308,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
new10100_21_edc.json.gz,8628,n,10,100,LagrangeTemplate,highs,LTFarkas,1,102,8627.112913,8639,0.127329552,8627.4398,0.326887087,43,126,0.048248,0.028944,0.086154,1754,36353.8385,1.498183529,1,0,"{timeout:3600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128}",1
