instance,class,machines,jobs,algorithm,solver,retention,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
b05200,b,5,200,Dantzig,highs,custom,6,47065,3547.411575,inf,nan,3580.544701,435.8899351,172,335,954.503681,41.264217,1000.009001,3335102,3494.069291,14.15366256,0,1,"{timeout:1000,max_col_multiplier:1,age_limit:12,random_seed:5,replication:6,num_threads:1}",1
b10100,b,10,100,Dantzig,highs,custom,3,190,1406.229167,1407,1.62E-14,1407,0.770833333,10,604,1.016932,0.045754,1.078133,17637,17343.34252,9.238604845,1,0,"{timeout:200,max_col_multiplier:1,age_limit:43,random_seed:2,replication:3,num_threads:1}",1
b10200,b,10,200,Dantzig,highs,custom,1,726,2825.018057,inf,nan,2825.51645,0.498393267,50,449,21.280841,0.369571,21.732639,150892,7090.509252,20.98794107,0,0,"{timeout:200,max_col_multiplier:1,age_limit:35,random_seed:0,replication:1,num_threads:1}",1
c05200,c,5,200,Dantzig,highs,custom,8,16530,3450.765286,inf,nan,3459.824794,319.639106,77,747,983.268178,14.516697,1000.01971,4310074,4383.416545,52.06691168,0,1,"{timeout:1000,max_col_multiplier:1,age_limit:53,random_seed:7,replication:8,num_threads:1}",1
b10100,b,10,100,Dantzig,highs,custom,4,196,1406.666667,inf,nan,1407,0.333333333,12,1018,1.056165,0.03644,1.109305,17436,16508.78414,8.973283336,0,0,"{timeout:200,max_col_multiplier:1,age_limit:91,random_seed:3,replication:4,num_threads:1}",1
c40400,c,40,400,Dantzig,highs,custom,2,420,4243.12459,inf,nan,4243.449508,0.324917986,144,527,36.594864,0.348429,37.078875,162301,4435.075917,9.610389915,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:3,random_seed:1,replication:2,num_threads:1}",1
a20200,a,20,200,Dantzig,highs,custom,3,245,2339,inf,nan,2339,0,36,896,7.486102,0.11122,7.641275,63418,8471.431461,13.26163524,0,0,"{timeout:100,max_col_multiplier:1,age_limit:27,random_seed:2,replication:3,num_threads:1}",1
a10100,a,10,100,Dantzig,highs,custom,5,215,1360,1360,0,1360,0,10,1021,1.41639,0.046682,1.482619,20479,14458.58838,9.658148763,1,0,"{timeout:100,max_col_multiplier:1,age_limit:86,random_seed:4,replication:5,num_threads:1}",1
a20100,a,20,100,Dantzig,highs,custom,5,86,1157.08,1159,0.086281277,1158,2,31,1566,0.580286,0.015396,0.607161,9964,17170.84334,6.162069408,1,0,"{timeout:100,max_col_multiplier:1,age_limit:94,random_seed:4,replication:5,num_threads:1}",1
b10100,b,10,100,Dantzig,highs,custom,5,196,1406.230769,1407,1.62E-14,1407,2.85,10,1070,1.174088,0.036831,1.227897,16707,14229.76813,8.649395598,1,0,"{timeout:200,max_col_multiplier:1,age_limit:98,random_seed:4,replication:5,num_threads:1}",1
b05200,b,5,200,Dantzig,highs,custom,4,24131,3547.411575,inf,nan,3570.38479,321.1899324,162,574,973.812309,23.516003,1000.027952,4267400,4382.158616,35.3325683,0,1,"{timeout:1000,max_col_multiplier:1,age_limit:36,random_seed:3,replication:4,num_threads:1}",1
c40400,c,40,400,Dantzig,highs,custom,5,272,4243.107937,inf,nan,4243.461442,0.353504878,155,889,41.238459,0.242328,41.604606,174371,4228.358775,16.05140296,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:11,random_seed:4,replication:5,num_threads:1}",1
a10100,a,10,100,Dantzig,highs,custom,3,206,1359.527638,inf,nan,1360,0.472361809,22,586,1.101153,0.050433,1.169889,18315,16632.56605,9.020415318,0,0,"{timeout:100,max_col_multiplier:1,age_limit:43,random_seed:2,replication:3,num_threads:1}",1
c05200,c,5,200,Dantzig,highs,custom,7,10583,3454.023102,inf,nan,3454.584158,0.561056106,27,596,666.302113,10.074333,677.990625,2706488,4061.9532,51.38899125,0,0,"{timeout:1000,max_col_multiplier:1,age_limit:85,random_seed:6,replication:7,num_threads:1}",1
a05100,a,5,100,Dantzig,highs,custom,4,595,1697.727273,1698,0,1698,18.7848113,5,557,3.074996,0.108882,3.220592,44470,14461.80743,14.65384615,1,0,"{timeout:100,max_col_multiplier:1,age_limit:40,random_seed:3,replication:4,num_threads:1}",1
a20100,a,20,100,Dantzig,highs,custom,1,87,1157.08,inf,nan,1158,3.25,37,853,0.473719,0.021395,0.507975,10314,21772.40094,6.329015925,0,0,"{timeout:100,max_col_multiplier:1,age_limit:40,random_seed:0,replication:1,num_threads:1}",1
a20200,a,20,200,Dantzig,highs,custom,3,255,2338.636364,inf,nan,2339,0.363636364,30,1243,8.898657,0.118356,9.064692,70247,7894.112561,14.20094766,0,0,"{timeout:100,max_col_multiplier:1,age_limit:43,random_seed:2,replication:3,num_threads:1}",1
b20200,b,20,200,Dantzig,highs,custom,2,230,2338.130435,inf,nan,2338.521739,0.391304348,51,2068,7.792261,0.088186,7.923411,62259,7989.850443,13.61527553,0,0,"{timeout:200,max_col_multiplier:1,age_limit:89,random_seed:1,replication:2,num_threads:1}",1
a20100,a,20,100,Dantzig,highs,custom,1,86,1157.08,inf,nan,1158,1,26,256,0.364657,0.025034,0.402758,9174,25157.8881,5.607377192,0,0,"{timeout:100,max_col_multiplier:1,age_limit:7,random_seed:0,replication:1,num_threads:1}",1
b10200,b,10,200,Dantzig,highs,custom,3,663,2825.000149,inf,nan,2825.509375,0.509225643,47,670,21.354865,0.343209,21.785895,142208,6659.278811,21.49317113,0,0,"{timeout:200,max_col_multiplier:1,age_limit:45,random_seed:2,replication:3,num_threads:1}",1
