instance,class,machines,jobs,algorithm,solver,retention,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a20100,a,20,100,LagrangeTemplate,highs,custom,4,2,1157.08,1158,0,1158,7376,20,40,0.000286,0.000827,0.004737,124,433566.4336,3.1,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:76,random_seed:3,replication:4,num_threads:100}",1
c05100,c,5,100,LagrangeTemplate,highs,custom,1,108,1929.012346,1947,0.873138161,1929.666667,0.654320988,12,410,0.06314,0.066071,0.133825,1516,24010.13621,2.610895062,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:56,random_seed:0,replication:1,num_threads:100}",1
c15900,c,15,900,LagrangeTemplate,highs,custom,5,418,11338.17899,11351,0.105717558,11338.86678,0.687796379,85,2603,16.670373,2.537585,19.353763,43622,2616.73809,6.944132462,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:93,random_seed:4,replication:5,num_threads:100}",1
a05200,a,5,200,LagrangeTemplate,highs,custom,6,2,3234.73913,3235,0,3235,15539,5,10,0.000292,0.001198,0.00398,206,705479.4521,20.6,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:35,random_seed:5,replication:6,num_threads:100}",1
c40400,c,40,400,LagrangeTemplate,highs,custom,4,79,4243.123803,4245,0.023557126,4243.449008,0.325204857,150,2263,0.396836,0.073069,0.51644,8170,20587.84989,2.599134939,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:51,random_seed:3,replication:4,num_threads:100}",1
b20200,b,20,200,LagrangeTemplate,highs,custom,9,66,2338.101449,2341,0.085433575,2338.521739,0.420289855,50,1033,0.077475,0.033855,0.122539,2314,29867.69926,1.876438335,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:55,random_seed:8,replication:9,num_threads:100}",1
b05200,b,5,200,LagrangeTemplate,highs,custom,3,270,3549.016103,3565,0.420757363,3549.336554,0.320450886,31,541,0.820578,0.487815,1.329983,6092,7424.035253,4.394888889,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:49,random_seed:2,replication:3,num_threads:100}",1
c15900,c,15,900,LagrangeTemplate,highs,custom,3,440,11338.06649,11357,0.15849256,11338.86651,0.800019607,88,2038,17.101408,2.466465,19.710825,48336,2826.43394,7.151787884,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:51,random_seed:2,replication:3,num_threads:100}",1
b10100,b,10,100,LagrangeTemplate,highs,custom,5,50,1406.151515,1407,0,1407,0.848484848,10,420,0.024263,0.013909,0.04352,800,32972.015,1.586049206,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:67,random_seed:4,replication:5,num_threads:100}",1
c401600,c,40,1600,LagrangeTemplate,highs,custom,4,756,17143.07505,17156,0.069946374,17143.46876,0.393715753,214,1658,20.480812,3.858632,24.766571,71234,3478.084756,2.317377704,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:2,random_seed:3,replication:4,num_threads:100}",1
a20100,a,20,100,LagrangeTemplate,highs,custom,6,2,1157.08,1158,0,1158,7811,20,40,0.000256,0.000733,0.004289,124,484375,3.1,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:44,random_seed:5,replication:6,num_threads:100}",1
a20200,a,20,200,LagrangeTemplate,highs,custom,6,56,2338.333333,2339,0,2339,0.666666667,20,702,0.030194,0.018039,0.058125,631,20898.19169,0.842549081,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:93,random_seed:5,replication:6,num_threads:100}",1
b20100,b,20,100,LagrangeTemplate,highs,custom,7,32,1165.333333,1166,0,1166,0.666666667,20,258,0.01431,0.008782,0.028782,744,51991.61426,1.33964063,1,0,"{timeout:1000,max_col_multiplier:1,age_limit:13,random_seed:6,replication:7,num_threads:100}",1
