instance,class,machines,jobs,algorithm,solver,retention,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a20100,a,20,100,Pessoa,highs,custom,3,56,1157.08,1159,0.086281277,1158,20,27,575,0.169625,0.013891,0.189802,6539,38549.74208,7.494652711,1,0,"{timeout:500,max_col_multiplier:1,age_limit:31,random_seed:2,replication:3,num_threads:10}",1
a05100,a,5,100,Pessoa,highs,custom,1,179,1697.727273,1698,0,1698,30.71428571,5,276,0.433148,0.03666,0.476861,13609,31418.8222,15.61691496,1,0,"{timeout:500,max_col_multiplier:1,age_limit:21,random_seed:0,replication:1,num_threads:10}",1
b10100,b,10,100,Pessoa,highs,custom,3,125,1406.666667,1407,9.70E-14,1407,0.333333333,10,160,0.183526,0.030427,0.219898,7298,39765.48282,7.3062,1,0,"{timeout:500,max_col_multiplier:1,age_limit:7,random_seed:2,replication:3,num_threads:10}",1
c15900,c,15,900,Pessoa,highs,custom,7,3714,11336.57438,inf,nan,11347.61551,1787.01256,375,1714,7185.48531,15.161574,7201.882664,5984526,832.8631598,115.0398268,0,1,"{timeout:7200,max_col_multiplier:1,age_limit:13,random_seed:6,replication:7,num_threads:2}",1
c20100,c,20,100,Pessoa,highs,custom,3,66,1241.333333,inf,nan,1241.666667,0.333333333,53,535,0.13844,0.019256,0.164353,5542,40031.78272,6.089264525,0,0,"{timeout:500,max_col_multiplier:1,age_limit:36,random_seed:2,replication:3,num_threads:10}",1
c801600,c,80,1600,Pessoa,highs,custom,4,363,16283,inf,nan,16308.18788,623.6356927,1176,6697,7207.087045,0.542175,7208.295678,2018591,280.084171,75.69346419,0,1,"{timeout:7200,max_col_multiplier:1,age_limit:41,random_seed:3,replication:4,num_threads:10}",1
c201600,c,20,1600,Pessoa,highs,custom,3,488,18798.56503,inf,nan,20308.57173,17911.09226,1497,2898,7275.386182,1.227278,7276.856248,1236139,169.9069945,124.5532382,0,1,"{timeout:7200,max_col_multiplier:1,age_limit:27,random_seed:2,replication:3,num_threads:10}",1
c801600,c,80,1600,Pessoa,highs,custom,4,762,16283.13394,inf,nan,16283.60844,0.474490672,376,1764,3725.597618,0.949328,3727.3482,1522660,408.7022154,29.2644048,0,0,"{timeout:7200,max_col_multiplier:1,age_limit:5,random_seed:3,replication:4,num_threads:10}",1
c20200,c,20,200,Pessoa,highs,custom,3,146,2390.095862,inf,nan,2390.171034,0.075172414,75,519,1.443405,0.06581,1.524633,28518,19757.44853,14.9283374,0,0,"{timeout:500,max_col_multiplier:1,age_limit:41,random_seed:2,replication:3,num_threads:10}",1
c30900,c,30,900,Pessoa,highs,custom,3,262,9974.681661,inf,nan,10186.08049,3519.211161,920,3036,503.087653,0.26502,503.478953,420953,836.7388814,52.7099122,0,1,"{timeout:500,max_col_multiplier:1,age_limit:48,random_seed:2,replication:3,num_threads:10}",1
a10200,a,10,200,Pessoa,highs,custom,3,222,2623,inf,nan,2623,12.51041667,21,474,2.931245,0.059836,3.007503,48771,16638.32262,23.31871291,0,0,"{timeout:500,max_col_multiplier:1,age_limit:13,random_seed:2,replication:3,num_threads:10}",1
c10200,c,10,200,Pessoa,highs,custom,1,240,2803.439516,inf,nan,2803.949309,0.509792627,52,498,2.712829,0.1071,2.837075,41406,15263.03353,20.67162856,0,0,"{timeout:500,max_col_multiplier:1,age_limit:44,random_seed:0,replication:1,num_threads:10}",1
a05100,a,5,100,Pessoa,highs,custom,2,214,1697.727273,1698,0,1698,80.48493976,5,152,0.332274,0.046308,0.385439,11593,34889.88004,11.87799545,1,0,"{timeout:500,max_col_multiplier:1,age_limit:9,random_seed:1,replication:2,num_threads:10}",1
c20200,c,20,200,Pessoa,highs,custom,4,173,2390.09931,inf,nan,2390.171034,0.071724138,75,237,0.822641,0.073293,0.912107,19666,23905.93224,7.064421671,0,0,"{timeout:500,max_col_multiplier:1,age_limit:4,random_seed:3,replication:4,num_threads:10}",1
a10200,a,10,200,Pessoa,highs,custom,3,239,2623,2623,1.73E-14,2623,7.078395836,10,326,2.453677,0.065043,2.535754,42855,17465.62404,19.26482824,1,0,"{timeout:500,max_col_multiplier:1,age_limit:9,random_seed:2,replication:3,num_threads:10}",1
c10200,c,10,200,Pessoa,highs,custom,4,276,2803.145833,inf,nan,2803.960317,0.814484127,53,257,2.174854,0.117905,2.309401,37155,17083.9054,16.14474073,0,0,"{timeout:500,max_col_multiplier:1,age_limit:11,random_seed:3,replication:4,num_threads:10}",1
