instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,5,5591.103879,inf,,17173.95833,,35,40,0.009704,0.000739,0.020232,1232,126957.9555,30.8,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:0,replication:1,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,60846,5591.103879,inf,nan,5648.693281,564.7109211,304,595,3542.348664,52.847191,3600.039027,11446823,3231.421886,18.81125957,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:0,replication:1,num_threads:1}",-4
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,60846,5591.103879,inf,nan,5648.693281,564.7109211,304,595,3542.348664,52.847191,3600.039027,11446823,3231.421886,18.81125957,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:0,replication:1,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,5,5591.103879,inf,,17072.63095,,38,40,0.010659,0.002892,0.023613,1252,117459.424,31.3,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:1,replication:2,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,5,5591.103879,inf,,17043.13333,,35,40,0.01028,0.001059,0.020851,1239,120525.2918,30.975,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:2,replication:3,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,61818,5591.103879,inf,nan,5650.549079,316.584939,318,602,3538.315999,56.792521,3600.036148,11374493,3214.662852,18.39846606,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:2,replication:3,num_threads:1}",-4
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,61818,5591.103879,inf,nan,5650.549079,316.584939,318,602,3538.315999,56.792521,3600.036148,11374493,3214.662852,18.39846606,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:2,replication:3,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,4,5,5591.103879,inf,,17184.85897,,36,40,0.011597,0.001117,0.0224,1280,110373.3724,32,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:3,replication:4,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,5,5,5591.103879,inf,,16892.66667,,31,40,0.009809,0.001245,0.021458,1285,131002.1409,32.125,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:4,replication:5,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,5,61071,5591.103879,inf,nan,5655.417651,694.1784429,336,599,3540.854622,54.371538,3600.024096,11207816,3165.285559,18.35053012,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:4,replication:5,num_threads:1}",-4
c10400,c,10,400,Dantzig,highs,DantzigFarkas,5,61071,5591.103879,inf,nan,5655.417651,694.1784429,336,599,3540.854622,54.371538,3600.024096,11207816,3165.285559,18.35053012,0,1,"{timeout:3600,max_col_multiplier:1,age_limit:10,random_seed:4,replication:5,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,5,5591.103879,inf,,17173.95833,,35,40,0.009443,0.000834,0.019887,1232,130467.0126,30.8,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:0,replication:1,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,3983,5595.012958,inf,nan,5595.333333,0.320374966,45,1108,745.904319,3.664193,750.112446,2513708,3370.014003,63.60785282,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:0,replication:1,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,3983,5595.012958,inf,nan,5595.333333,0.320374966,45,1108,745.904319,3.664193,750.112447,2513708,3370.014003,63.60785282,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:0,replication:1,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,5,5591.103879,inf,,17072.63095,,38,40,0.010643,0.001173,0.021891,1252,117636.0049,31.3,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:1,replication:2,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,4346,5595.008567,inf,nan,5595.348387,0.339820551,49,1054,769.1756,4.050426,773.820995,2670995,3472.542551,62.10269405,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:1,replication:2,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,4346,5595.008567,inf,nan,5595.348387,0.339820551,49,1054,769.1756,4.050426,773.820996,2670995,3472.542551,62.10269405,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:1,replication:2,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,5,5591.103879,inf,,17043.13333,,35,40,0.010211,0.001188,0.021203,1239,121339.7317,30.975,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:2,replication:3,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,4019,5595.079365,inf,nan,5595.333333,0.253968254,46,1307,748.299197,3.772815,752.625312,2540626,3395.200757,63.52084948,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:2,replication:3,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,4019,5595.079365,inf,nan,5595.333333,0.253968254,46,1307,748.299197,3.772815,752.625312,2540626,3395.200757,63.52084948,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:2,replication:3,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,4,5,5591.103879,inf,,17184.85897,,36,40,0.011667,0.001595,0.023188,1280,109711.1511,32,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:3,replication:4,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,5,5,5591.103879,inf,,16892.66667,,31,40,0.009975,0.001091,0.021454,1285,128822.0551,32.125,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:100,random_seed:4,replication:5,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,5,5591.103879,inf,,17173.95833,,35,40,0.009361,0.000784,0.019614,1232,131609.8707,30.8,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:0,replication:1,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,4058,5595.012524,inf,nan,5595.348387,0.335863076,49,1333,765.834938,3.749435,770.15484,2654255,3465.831693,65.71071536,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:0,replication:1,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,1,4058,5595.012524,inf,nan,5595.348387,0.335863076,49,1333,765.834938,3.749435,770.15484,2654255,3465.831693,65.71071536,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:0,replication:1,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,5,5591.103879,inf,,17072.63095,,38,40,0.010463,0.001459,0.021802,1252,119659.7534,31.3,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:1,replication:2,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,3601,5595.034019,inf,nan,5595.337063,0.303044015,62,1270,675.306712,3.412798,679.240919,2258640,3344.613581,63.39466605,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:1,replication:2,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,2,3601,5595.034019,inf,nan,5595.337063,0.303044015,62,1270,675.306712,3.412798,679.24092,2258640,3344.613581,63.39466605,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:1,replication:2,num_threads:1}",1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,5,5591.103879,inf,,17043.13333,,35,40,0.010388,0.000835,0.021075,1239,119272.2372,30.975,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:2,replication:3,num_threads:1}",-1
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,4205,5595.030163,inf,nan,5595.331915,0.30175219,50,1850,804.645191,3.779528,809.023372,2739525,3404.637262,65.26464234,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:2,replication:3,num_threads:1}",2
c10400,c,10,400,Dantzig,highs,DantzigFarkas,3,4205,5595.030163,inf,nan,5595.331915,0.30175219,50,1850,804.645191,3.779528,809.023373,2739525,3404.637262,65.26464234,0,0,"{timeout:3600,max_col_multiplier:1,age_limit:105,random_seed:2,replication:3,num_threads:1}",1
