instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,7,1697.7272727272727,inf,,4304.333333333336,,12,30,0.002281,0.003933,0.009737,226,99079.35116177115,7.533333333333333,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128,set_partition:false}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,7,1697.7272727272727,inf,nan,4304.333333333336,0,12,30,0.002281,0.003933,0.009744,226,99079.35116177115,1.0761904761904761,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128,set_partition:false}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,7,1697.7272727272727,inf,,4343.333333333335,,12,30,0.002159,0.002421,0.008149,226,104678.0917091246,7.533333333333333,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128,set_partition:false}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,7,1697.7272727272727,inf,nan,4343.333333333335,0,12,30,0.002159,0.002421,0.008159,226,104678.0917091246,1.0761904761904761,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128,set_partition:false}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,7,1697.7272727272727,inf,,4306.666666666667,,11,30,0.002112,0.002187,0.005944,230,108901.51515151514,7.666666666666667,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128,set_partition:false}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,7,1697.7272727272727,inf,nan,4306.666666666667,0,11,30,0.002112,0.002187,0.005952,230,108901.51515151514,1.0952380952380953,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128,set_partition:false}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,7,1697.7272727272727,inf,,4271.333333333334,,12,30,0.002334,0.003217,0.007153,231,98971.72236503856,7.7,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128,set_partition:false}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,7,1697.7272727272727,inf,nan,4271.333333333334,0,12,30,0.002334,0.003217,0.00716,231,98971.72236503856,1.1,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128,set_partition:false}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,5,7,1697.7272727272727,inf,,4376.9999999999945,,12,30,0.00272,0.00233,0.00678,226,83088.23529411764,7.533333333333333,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:4,replication:5,num_threads:128,set_partition:false}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,5,7,1697.7272727272727,inf,nan,4376.9999999999945,0,12,30,0.00272,0.00233,0.006787,226,83088.23529411764,1.0761904761904761,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:4,replication:5,num_threads:128,set_partition:false}",1
