instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,59,1697.7272727272727,inf,,2990.962387497194,,105,290,0.109221,0.021869,0.138738,3602,32979.00586883475,12.420689655172414,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128,set_partition:true}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,59,1697.7272727272727,inf,nan,2990.962387497194,0,105,290,0.109221,0.021869,0.138746,3602,32979.00586883475,0.21052016364699006,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128,set_partition:true}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,73,1697.7272727272727,inf,,3025.4607882302234,,105,360,0.136718,0.022595,0.166647,4268,31217.542679091268,11.855555555555556,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128,set_partition:true}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,73,1697.7272727272727,inf,nan,3025.4607882302234,0,105,360,0.136718,0.022595,0.166655,4268,31217.542679091268,0.1624048706240487,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128,set_partition:true}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,73,1697.7272727272727,inf,,2967.738333739253,,105,360,0.143821,0.020271,0.173623,4112,28591.095876123793,11.422222222222222,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128,set_partition:true}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,73,1697.7272727272727,inf,nan,2967.738333739253,0,105,360,0.143821,0.020271,0.173632,4112,28591.095876123793,0.15646879756468798,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128,set_partition:true}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,66,1697.7272727272727,inf,,3045.1722147992255,,105,325,0.113933,0.017954,0.137981,3772,33107.1770250937,11.606153846153846,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128,set_partition:true}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,66,1697.7272727272727,inf,nan,3045.1722147992255,0,105,325,0.113933,0.017954,0.137992,3772,33107.1770250937,0.17585081585081586,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128,set_partition:true}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,5,56,1697.7272727272727,inf,,2978.66204391828,,105,275,0.084914,0.016437,0.106641,3483,41017.971123725176,12.665454545454546,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:4,replication:5,num_threads:128,set_partition:true}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,5,56,1697.7272727272727,inf,nan,2978.66204391828,0,105,275,0.084914,0.016437,0.106648,3483,41017.971123725176,0.22616883116883119,0,0,"{timeout:600,max_col_multiplier:1,age_limit:34,random_seed:4,replication:5,num_threads:128,set_partition:true}",1
a05100.json.gz,a,5,100,LagrangeTemplate,highs,LTFarkas,1,2,1697.7272727272727,1698,,1698,,5,5,0.001085,0.000983,0.005719,139,128110.59907834101,27.8,1,0,"{timeout:600,max_col_multiplier:1,age_limit:2,random_seed:0,replication:1,num_threads:128,set_partition:true}",-1
