instance,compact LP,ceil(LP),rmp_opt
a05100.json.gz,1697.727273,1698,1698
a05200.json.gz,3234.73913,3235,3235
a10100.json.gz,1358.556923,1359,1360
a10200.json.gz,2623,2623,2623
a20100.json.gz,1157.08,1158,1158
a20200.json.gz,2337.327333,2338,2339
b05100.json.gz,1831.32945,1832,1839
b05200.json.gz,3547.411575,3548,3550
b10100.json.gz,1400.671958,1401,1407
b10200.json.gz,2815.050673,2816,2826
b20100.json.gz,1155.181433,1156,1166
b20200.json.gz,2331.137984,2332,2339
c05100.json.gz,1923.975026,1924,1930
c05200.json.gz,3450.765286,3451,3455
c10100.json.gz,1387.009711,1388,1400
c10200.json.gz,2795.407916,2796,2804
c10400.json.gz,5591.103879,5592,5596
c15900.json.gz,11336.57438,11337,11339
c20100.json.gz,1218.987259,1219,1242
c201600.json.gz,18798.56503,18799,18802
c20200.json.gz,2376.905486,2377,2391
c20400.json.gz,4774.150442,4775,4781
c30900.json.gz,9974.681661,9975,9982
c401600.json.gz,17139.32464,17140,17144
c40400.json.gz,4231.982216,4232,4244
c60900.json.gz,9315.038004,9316,9325
c801600.json.gz,16283,16283,16284
d05100.json.gz,6345.412612,6346,6350
d05200.json.gz,12736.19608,12737,12741
d10100.json.gz,6323.456043,6324,6342
d10200.json.gz,12418.3621,12419,12426
d10400.json.gz,24955.99482,24956,24959
d15900.json.gz,55400.46714,55401,55403
d20100.json.gz,6142.530217,6143,6177
d201600.json.gz,97821.35001,97822,97823
d20200.json.gz,12217.69342,12218,12230
d20400.json.gz,24552.43633,24553,24561
d30900.json.gz,54828.75354,54829,54833
d401600.json.gz,97105,97105,97105
d40400.json.gz,24347.60829,24348,24350
d60900.json.gz,54551,54551,54551
d801600.json.gz,97034,97034,97034
e05100.json.gz,12641.41913,12642,12674
e05200.json.gz,24922,24922,24927
e10100.json.gz,11543.05425,11544,11569
e10200.json.gz,23293.85615,23294,23303
e10400.json.gz,45739.20722,45740,45745
e15900.json.gz,102416.6097,102417,102420
e20100.json.gz,8359.58204,8360,8432
e201600.json.gz,180640.2918,180641,180644
e20200.json.gz,22355.93385,22356,22377
e20400.json.gz,44861.76164,44862,44876
e30900.json.gz,100413.3227,100414,100427
e401600.json.gz,178282.6193,178283,178293
e40400.json.gz,44523.4286,44524,44557
e60900.json.gz,100103.2598,100104,100147
e801600.json.gz,176780.9892,176781,176819
