instance,class,machines,jobs,algorithm,solver,farkas,replication,iterations,lb,ub,gap,obj,redcost,basis,cols,rmptime,cgtime,time,lpiters,lpiters_per_second,lpiters_per_column,has_integer,timeout,params,last
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,4,1697.727273,inf,,4969.5,,9,15,0.002348,0.002109,0.008662,234,99659.2845,15.6,0,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,663,1698,1698,0,1698,0,5,323,1.854272,0.182844,2.06616,45570,24575.68253,13.82267471,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128}",2
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,1,663,1698,1698,0,1698,0,5,323,1.854272,0.182844,2.06616,45570,24575.68253,13.82267471,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:0,replication:1,num_threads:128}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,4,1697.727273,inf,,4575.5,,10,15,0.002015,0.00188,0.005793,249,123573.201,16.6,0,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,662,1697.740854,1698,0,1698,0.259146341,5,293,1.941302,0.171921,2.141337,46646,24028.20375,14.38544814,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128}",2
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,2,662,1697.740854,1698,0,1698,0.259146341,5,293,1.941302,0.171921,2.141338,46646,24028.20375,14.38544814,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:1,replication:2,num_threads:128}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,4,1697.727273,inf,,5045.5,,9,15,0.00136,0.001349,0.004757,246,180882.3529,16.4,0,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,710,1697.727273,1698,0,1698,4.730276581,5,435,2.216701,0.166551,2.413415,53807,24273.45862,15.04901408,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128}",2
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,3,710,1697.727273,1698,0,1698,4.730276581,5,435,2.216701,0.166551,2.413416,53807,24273.45862,15.04901408,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:2,replication:3,num_threads:128}",1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,5,1697.727273,inf,,4453.75,,15,20,0.001772,0.001607,0.005321,258,145598.1941,12.9,0,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128}",-1
a05100.json.gz,a,5,100,Dantzig,highs,DantzigFarkas,4,693,1697.727273,1698,0,1698,4.646404213,5,411,2.15115,0.16663,2.346943,51971,24159.63554,15.04401154,1,0,"{timeout:21600,max_col_multiplier:1,age_limit:34,random_seed:3,replication:4,num_threads:128}",2
